LWN	,Gyoumri	,Armenia ,Continental
SZG	,Salzburg	,Austria	,Continental
VIE	,Vienna	,Austria	,Continental
BRU	,Brussels	,Belgium	,Temperate
CRL	,Brussels	,Belgium	,Temperate
BNX	,Banja Luka	,Bosnia and Herzegovina	,Continental
BOJ	,Bourgas	,Bulgaria	,Continental
PDV	,Plovdiv	,Bulgaria	,Continental
SOF	,Sofia	,Bulgaria	,Continental
VAR	,Varna	,Bulgaria	,Continental
DBV	,Dubrovnik	,Croatia	,Mediterranean
PUY	,Pula	,Croatia	,Mediterranean
RJK	,Rijeka	,Croatia	,Mediterranean
SPU	,Split	,Croatia	,Mediterranean
ZAD	,Zadar	,Croatia	,Mediterranean
LCA	,Larnaca	,Cyprus	,Mediterranean
PFO	,Paphos	,Cyprus	,Mediterranean
BRQ	,Brno	,Czech Republic	,Continental
OSR	,Ostrava	,Czech Republic	,Continental
PED	,Pardubice	,Czech Republic	,Continental
PRG	,Prague	,Czech Republic	,Continental
AAR	,Aarhus	,Denmark	,Temperate
BLL	,Billund	,Denmark	,Temperate
CPH	,Copenhagen	,Denmark	,Temperate
TLL	,Tallinn	,Estonia	,Temperate
BES	,Brest	,France	,Temperate
BIQ	,Biarritz	,France	,Temperate
BOD	,Bordeaux	,France	,Temperate
BZR	,Beziers	,France	,Temperate
CCF	,Carcassonne	,France	,Temperate
CFE	,Clermont-Ferrand	,France	,Temperate
DLE	,Dole	,France	,Temperate
DNR	,Dinard	,France	,Temperate
EGC	,Bergerac	,France	,Temperate
FNI	,Nimes	,France	,Temperate
FSC	,Figari	,France	,Temperate
GNB	,Grenoble	,France	,Temperate
LDE	,Lourdes	,France	,Temperate
LIG	,Limoges	,France	,Temperate
LIL	,Lille	,France	,Temperate
LRH	,La Rochelle	,France	,Temperate
MRS	,Marseille	,France	,Temperate
NCE	,Nice	,France	,Temperate
NTE	,Nantes	,France	,Temperate
PGF	,Perpignan	,France	,Temperate
PIS	,Poitiers	,France	,Temperate
TLS	,Toulouse	,France	,Temperate
TUF	,Tours	,France	,Temperate
XCR	,Chalons-en-Champagne	,France	,Temperate
KUT	,Kutaisi	,Georgia	,Tropical
BER	,Berlin	,Germany	,Temperate
BRE	,Bremen	,Germany	,Temperate
CGN	,Cologne	,Germany	,Temperate
DRS	,Dresden	,Germany	,Temperate
DTM	,Dortmund	,Germany	,Temperate
DUS	,Dusseldorf	,Germany	,Temperate
FDH	,Friedrichshafen	,Germany	,Temperate
FKB	,Karlsruhe/Baden	,Germany	,Temperate
FMM	,Memmingen	,Germany	,Temperate
FMO	,Muenster	,Germany	,Temperate
FRA	,Frankfurt	,Germany	,Temperate
HAJ	,Hanover	,Germany	,Temperate
HAM	,Hamburg	,Germany	,Temperate
HHN	,Hahn	,Germany	,Temperate
MUC	,Munich	,Germany	,Temperate
NRN	,Dusseldorf	,Germany	,Temperate
NUE	,Nuremberg	,Germany	,Temperate
STR	,Stuttgart	,Germany	,Temperate
SXF	,Berlin	,Germany	,Temperate
TXL	,Berlin	,Germany	,Temperate
ATH	,Athens	,Greece	,Mediterranean
CFU	,Kerkyra	,Greece	,Mediterranean
CHQ	,Chania	,Greece	,Mediterranean
EFL	,Kefallinia	,Greece	,Mediterranean
HER	,Heraklion	,Greece	,Mediterranean
JMK	,Mikonos	,Greece	,Mediterranean
JTR	,Thira	,Greece	,Mediterranean
KGS	,Kos	,Greece	,Mediterranean
KLX	,Kalamata	,Greece	,Mediterranean
PVK	,Preveza	,Greece	,Mediterranean
RHO	,Rhodes	,Greece	,Mediterranean
SKG	,Thessaloniki	,Greece	,Mediterranean
ZTH	,Zakinthos	,Greece	,Mediterranean
BUD	,Budapest	,Hungary	,Continental
DUB	,Dublin	,Ireland	,Temperate
KIR	,Kerry County	,Ireland	,Temperate
NOC	,Knock	,Ireland	,Temperate
ORK	,Cork	,Ireland	,Temperate
SNN	,Shannon	,Ireland	,Temperate
TLV	,Tel Aviv-Yafo	,Israel	,Mediterranean
AHO	,Alghero	,Italy	,Mediterranean
AOI	,Ancona	,Italy	,Mediterranean
BDS	,Brindisi	,Italy	,Mediterranean
BGY	,Milan	,Italy	,Mediterranean
BLQ	,Bologna	,Italy	,Mediterranean
BRI	,Bari	,Italy	,Mediterranean
CAG	,Cagliari	,Italy	,Mediterranean
CIA	,Rome	,Italy	,Mediterranean
CIY	,Comiso	,Italy	,Mediterranean
CRV	,Crotone	,Italy	,Mediterranean
CTA	,Catania	,Italy	,Mediterranean
CUF	,Cuneo	,Italy	,Mediterranean
FCO	,Rome	,Italy	,Mediterranean
GOA	,Genoa	,Italy	,Mediterranean
MXP	,Milan	,Italy	,Mediterranean
NAP	,Naples	,Italy	,Mediterranean
PEG	,Perugia	,Italy	,Mediterranean
PMF	,Parma	,Italy	,Mediterranean
PMO	,Palermo	,Italy	,Mediterranean
PSA	,Pisa	,Italy	,Mediterranean
PSR	,Pescara	,Italy	,Mediterranean
RMI	,Rimini	,Italy	,Mediterranean
SUF	,Lamezia-Terme	,Italy	,Mediterranean
TPS	,Trapani	,Italy	,Mediterranean
TRS	,Trieste	,Italy	,Mediterranean
TSF	,Venice	,Italy	,Mediterranean
VCE	,Venice	,Italy	,Mediterranean
VRN	,Verona	,Italy	,Mediterranean
AMM	,Amman	,Jordan	,Mediterranean
RIX	,Riga	,Latvia	,Continental
KUN	,Kaunas	,Lithuania	,Continental
PLQ	,Palanga	,Lithuania	,Continental
VNO	,Vilnius	,Lithuania	,Continental
LUX	,Luxembourg	,Luxembourg	,Temperate
MLA	,Malta	,Malta	,Mediterranean
TGD	,Podgorica	,Montenegro	,Mediterranean
AGA	,Agadir	,Morocco	,Tropical
ESU	,Essaouira	,Morocco	,Tropical
FEZ	,Fez	,Morocco	,Tropical
NDR	,Nador	,Morocco	,Tropical
OUD	,Oujda	,Morocco	,Tropical
RAK	,Marrakech	,Morocco	,Tropical
RBA	,Rabat	,Morocco	,Tropical
TNG	,Tangier	,Morocco	,Tropical
EIN	,Eindhoven	,Netherlands	,Temperate
MST	,Maastricht	,Netherlands	,Temperate
OSL	,Oslo	,Norway	,Mild
RYG	,Rygge	,Norway	,Mild
TRF	,Sandefjord	,Norway	,Mild
BZG	,Bydgoszcz	,Poland	,Temperate
